"Date","Symbol","Portfolio","Type","Shares","Price","PremiumType"
"22/05/2023","ZIM","RM","buy","20","15.14",""
"09/06/2024","ZIM","RM","dividend","5.9651","0",""
"18/06/2024","ARM","RM","buy","1","170.44",""
"20/06/2024","ZIM","RM","buy","5","20.62",""
"20/06/2024","ARM","RM","buy","17","168.13",""
"02/07/2024","ZIM","RM","buy","75","23",""
"21/08/2024","ZIM","RM","buy","3","21.87",""
"21/08/2024","ZIM","RM","buy","2","22.05",""
"27/08/2024","ANF","SA","buy","30","165.85",""
"27/08/2024","APP","SA","buy","32","89.7",""
"27/08/2024","APP","SA","buy","11","89.64",""
"27/08/2024","OKTA","SA","buy","2","97.37",""
"27/08/2024","OKTA","SA","buy","19","97.19",""
"27/08/2024","ASC","SA","buy","150","19.08",""
"27/08/2024","ATGE","SA","buy","20","75.57",""
"27/08/2024","SKYW","SA","buy","1","76.16",""
"27/08/2024","ZETA","RM","buy","54","25.21",""
"27/08/2024","CLS","SA","buy","71","51.22",""
"27/08/2024","SKYW","SA","buy","20","75.81",""
"27/08/2024","STRL","SA","buy","5","118.01",""
"27/08/2024","STRL","SA","buy","26","117.84",""
"27/08/2024","EAT","SA","buy","11","70.88",""
"27/08/2024","TWLO","SA","buy","28","61.92",""
"27/08/2024","EAT","SA","buy","19","70.91",""
"27/08/2024","PEP","SA","buy","13","175.99",""
"27/08/2024","POWL","SA","buy","3","189.58",""
"27/08/2024","POWL","SA","buy","30","189.59",""
"27/08/2024","AMPH","SA","buy","45","48.11",""
"27/08/2024","GRBK","SA","buy","41","78.63",""
"04/09/2024","SYF","SA","buy","40","49.68",""
"16/09/2024","ASC","SA","dividend","3.2203","0",""
"02/10/2024","POWL","SA","buy","6","230.62",""
"16/10/2024","AGX","SA","buy","11","127.67",""
"01/11/2024","AGX","SA","dividend","0.0237","0",""
"10/11/2024","ONON","RM","buy","100","50.62",""
"11/11/2024","ZETA","RM","buy","100","37.15",""
"14/11/2024","ARM","RM","buy","50","136.84",""
"18/11/2024","SYF","SA","buy","0.1081","64.82",""
"18/11/2024","CLS","SA","buy","20","85.18",""
"18/11/2024","CLS","SA","buy","5","85.18",""
"19/11/2024","ZETA","RM","buy","46","20.1",""
"20/11/2024","POWL","SA","buy","3","267",""
"20/11/2024","POWL","SA","buy","5","267.07",""
"20/11/2024","POWL","SA","buy","3","267.21",""
"02/12/2024","QTWO","SA","buy","40","107.01",""
"04/12/2024","ZIM","RM","buy","300","19.25",""
"09/12/2024","APP","SA","buy","29","340.56",""
"09/12/2024","APP","SA","buy","1","340.82",""
"10/12/2024","ZIM","RM","dividend","11.4521","0",""
"10/12/2024","ZIM","RM","dividend","3.4141","0",""
"16/12/2024","AMPH","SA","buy","12","42.02",""
"16/12/2024","OKTA","SA","buy","5","84.23",""
"16/12/2024","STRL","SA","buy","5","183.27",""
"16/12/2024","TWLO","SA","buy","1","112.98",""
"16/12/2024","LC","SA","buy","200","17.79",""
"16/12/2024","OKTA","SA","buy","5","84.3",""
"16/12/2024","SKYW","SA","buy","5","103.85",""
"16/12/2024","CLS","SA","buy","4","99.91",""
"16/12/2024","ATGE","SA","buy","6","89.58",""
"16/12/2024","RDDT","RM","buy","50","170.23",""
"16/12/2024","EAT","SA","buy","6","129.76",""
"16/12/2024","ASC","SA","dividend","2.4581","0",""
"16/12/2024","AGX","SA","buy","1","148",""
"16/12/2024","TWLO","SA","buy","9","112.63",""
"18/12/2024","NVDA","RM","dividend","0.0056","0",""
"18/12/2024","AMD","RM","buy","100","125.08",""
"19/12/2024","TSLA","RM","buy","100","451.02",""
"19/12/2024","GOOG","RM","buy","21.0235","191.01",""
"19/12/2024","POWL","SA","dividend","0.0307","0",""
"30/12/2024","NVDA","RM","dividend","0.0052","0",""
"06/01/2025","FOA","RM","buy","100","30.45",""
"07/01/2025","PEP","SA","buy","0.0844","146.91",""
"07/01/2025","APP","SA","buy","5","325.02",""
"17/01/2025","PYPL","SA","buy","30","90.56",""
"27/01/2025","ARM","RM","buy","20","149.68",""
"27/01/2025","CLS","SA","buy","50","103.62",""
"02/02/2025","AGX","SA","buy","1","100",""
"03/02/2025","CRDO","SA","buy","70","71.13",""
"05/02/2025","OKTA","SA","buy","70","113.33",""
"06/02/2025","AGX","SA","dividend","0.0231","0",""
"18/02/2025","ITRN","SA","buy","50","41.6",""
"18/02/2025","TWLO","SA","buy","25","126.03",""
"19/02/2025","SYF","SA","buy","0.1084","64.82",""
"21/02/2025","EAT","SA","buy","12","153.03",""
"21/02/2025","EAT","SA","buy","13","153",""
"26/02/2025","APP","SA","buy","10","327.94",""
"17/03/2025","ASC","SA","dividend","1.2512","0",""
"18/03/2025","GOOG","RM","dividend","0.0176","0",""
"18/03/2025","ZETA","RM","buy","200","13.65",""
"20/03/2025","POWL","SA","dividend","0.0518","0",""
"25/03/2025","GOOG","RM","buy","20","171.85",""
"25/03/2025","GOOG","RM","buy","80","171.83",""
"31/03/2025","ARM","RM","buy","12","105.57",""
"31/03/2025","APP","SA","buy","1","264.12",""
"31/03/2025","APP","SA","buy","11","263.77",""
"01/04/2025","PEP","SA","buy","0.0834","149.64",""
"02/04/2025","EZPW","SA","buy","200","15.72",""
"02/04/2025","NVDA","RM","buy","100","111.42",""
"02/04/2025","TSLA","RM","buy","50","385.63",""
"03/04/2025","NVDA","RM","dividend","0.0066","0",""
"04/04/2025","ZIM","RM","dividend","90.3503","0",""
"04/04/2025","ITRN","SA","dividend","0.5519","0",""
"08/04/2025","NVDA","RM","buy","100","99.4",""
"08/04/2025","TSLA","RM","buy","100","239.5",""
"23/04/2025","EAT","SA","buy","6","158.46",""
"23/04/2025","EAT","SA","buy","33","158.4",""
"28/04/2025","HIMS","RM","buy","2","28.85",""
"28/04/2025","HIMS","RM","buy","110","28.9",""
"28/04/2025","HIMS","RM","buy","5","28.88",""
"28/04/2025","HIMS","RM","buy","83","28.92",""
"28/04/2025","ATGE","SA","buy","1","105.25",""
"28/04/2025","ATGE","SA","buy","49","104.9",""
"28/04/2025","CRDO","SA","buy","100","42.39",""
"28/04/2025","AGX","SA","buy","50","147.89",""
"01/05/2025","AGX","SA","dividend","0.0216","0",""
"01/05/2025","MFC","SA","buy","157.5525","30.78",""
"14/05/2025","HIMS","RM","buy","50","63.26",""
"14/05/2025","TSLA","RM","buy","100","343.36",""
"14/05/2025","GE","RM","buy","50","222.18",""
"16/05/2025","SYF","SA","buy","0.1393","60.64",""
"29/05/2025","HIMS","RM","buy","4","55.13",""
"29/05/2025","HIMS","RM","buy","46","55.04",""
"10/06/2025","ZIM","RM","dividend","22.0536","0",""
"16/06/2025","ASC","SA","dividend","0.7734","0",""
"16/06/2025","UNFI","SA","buy","400","22.57",""
"16/06/2025","SSRM","SA","buy","500","12.87",""
"17/06/2025","GOOG","RM","dividend","0.1005","0",""
"20/06/2025","POWL","SA","dividend","0.0521","0",""
"23/06/2025","MFC","SA","dividend","2.4052","0",""
"01/07/2025","GE","RM","buy","50","255.48",""
"01/07/2025","PEP","SA","buy","0.0994","132.72",""
"01/07/2025","GOOG","RM","buy","100","175.84",""
"02/07/2025","WLDN","SA","buy","100","66.63",""
"03/07/2025","ITRN","SA","dividend","0.4829","0",""
"07/07/2025","NVDA","RM","dividend","0.0132","0",""
"10/07/2025","WLDN","SA","buy","70","74",""
"10/07/2025","HIMS","RM","buy","100","50.67",""
"11/07/2025","OKTA","SA","buy","56","93.28",""
"11/07/2025","OKTA","SA","buy","44","93.28",""
"11/07/2025","RDDT","RM","buy","50","145.7",""
"21/07/2025","TWLO","SA","buy","37","132.61",""
"21/07/2025","SKYW","SA","buy","74","113.51",""
"21/07/2025","AGX","SA","buy","17","206.02",""
"21/07/2025","CRDO","SA","buy","30","93.81",""
"21/07/2025","WLDN","SA","buy","30","78.91",""
"21/07/2025","AGX","SA","buy","20","206",""
"23/07/2025","POWL","SA","buy","25","232",""
"23/07/2025","ZETA","RM","buy","100","16.03",""
"23/07/2025","SYF","SA","buy","50","71.87",""
"23/07/2025","STRL","SA","buy","50","250.01",""
"23/07/2025","GE","RM","buy","50","261.62",""
"28/07/2025","PSIX","RM","buy","100","86.66",""
"28/07/2025","GE","RM","dividend","0.0922","0",""
"28/07/2025","PYPL","SA","buy","200","78.21",""
"31/07/2025","PATH","RM","buy","500","12.06",""
"01/08/2025","AGX","SA","dividend","0.1139","0",""
"08/08/2025","TWLO","SA","buy","200","100.68",""
"08/08/2025","DXPE","SA","buy","50","111.16",""
"13/08/2025","STRL","SA","buy","14","290.06",""
"13/08/2025","CLS","SA","buy","50","204.47",""
"13/08/2025","POWL","SA","buy","25","260.72",""
"13/08/2025","PSIX","RM","buy","100","91.76",""
"15/08/2025","COMM","SA","buy","800","15.48",""
"18/08/2025","SYF","SA","buy","0.2663","71.33",""
"21/08/2025","META","RM","buy","100","739.58",""
"23/08/2025","AMZN","RM","buy","100","222.65",""
"24/08/2025","LITE","PRO","buy","50","122.27",""
"25/08/2025","TPC","PRO","buy","100","60.28",""
"25/08/2025","TSM","PRO","buy","22","234.21",""
"27/08/2025","CCL","RM","buy","150","32.17",""
"27/08/2025","CCL","RM","buy","500","32.17",""
"28/08/2025","DXPE","SA","buy","50","125.98",""
"02/09/2025","CTM","PRO","buy","4500","1.11",""
"02/09/2025","KGC","SA","buy","400","21.4",""
"02/09/2025","NEM","PRO","buy","65","76.16",""
"08/09/2025","W","PRO","buy","60","88.83",""
"08/09/2025","ITRN","SA","sell","51.0348","33.72",""
"08/09/2025","MFC","SA","sell","159.9577","30.62",""
"12/09/2025","DLO","RM","buy","400","13.78",""
"15/09/2025","BNPQY","PRO","buy","125","47.25",""
"15/09/2025","META","RM","sell","100","765",""
"15/09/2025","VSAT","PRO","buy","170","31.83",""
"15/09/2025","LITE","PRO","sell","50","165.82",""
"15/09/2025","ASC","SA","dividend","0.8638","0",""
"15/09/2025","GECC","PRO","buy","500","11.39",""
